Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",0603,10,1uF_0603_25V,
D1,D_SOD-123F_TVS,1,MBR1020VL,
D2,SOT-23-6,1,USBLC6-2SC6,
F1,0603,1,500mA,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J2, J5",PinSocket_1x10_P2.54mm_Vertical,2,PINHD_1x10_Female,
J4,PinHeader_1x05_P2.54mm_Vertical,1,PINHD_1x5_Male,
"LED1, LED2",0402,2,LED_1.8mm_SMD_Red,
"R1, R2, R3, R4, R5, R6, R7, R8",R_0402,8,10k_0402,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,Push_Button,
U1,SOT-23-5,1,AP2112K-3.3TRG1,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,1,ATSAMD21E16B-M,
